Price,Close,High,Low,Open,Volume
Ticker,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA,EGIE3.SA
Date,,,,,
2010-08-05,7.596807956695557,7.652235182106543,7.502256042531497,7.5315993647593675,219500
2010-08-06,7.600069046020508,7.639193735368604,7.534860453092602,7.596808072230691,471875
2010-08-09,7.466390132904053,7.662015891946194,7.414223108356615,7.596807305598813,437375
2010-08-10,7.544638633728027,7.544638633728027,7.322929799494699,7.433784216611364,886000
2010-08-11,7.544638633728027,7.544638633728027,7.433784216611364,7.433784216611364,331000
2010-08-12,7.498993396759033,7.544639245467275,7.433784819362242,7.498993396759033,146125
2010-08-13,7.401182174682617,7.512036625411662,7.394661004555371,7.485953499598145,272750
2010-08-16,7.394661903381348,7.505517144932652,7.358797406691476,7.495735777226718,387375
2010-08-17,7.394661903381348,7.5479028125424215,7.394661903381348,7.404443271087281,473875
2010-08-18,7.727225303649902,7.7272253036499015,7.420745070551142,7.433786633744073,663500
2010-08-19,7.825038909912109,7.838080473003285,7.567464735133478,7.753309146889027,637125
2010-08-20,7.968498706817627,8.043488676141036,7.701143130214692,7.8380815040547995,579250
2010-08-23,7.704401969909668,7.968497303126144,7.704401969909668,7.965237106835727,236000
2010-08-24,7.825038909912109,7.890247502715731,7.629412354153499,7.66201665055531,277625
2010-08-25,7.857642650604248,7.896767337110792,7.727224696872703,7.727224696872703,441250
2010-08-26,7.645712852478027,7.877203062005121,7.626150124383335,7.81851565506858,822375
2010-08-27,7.792435646057129,7.792435646057128,7.616371800279585,7.704403334494433,783375
2010-08-30,7.645712852478027,7.873942866438518,7.583764472627347,7.737004547123209,598
2010-08-31,7.573984146118164,7.815256530091346,7.489212830993612,7.727224241605943,655500
2010-09-01,7.854381084442139,7.870683618933946,7.4663897807696085,7.792433474477105,883
2010-09-02,7.534858703613281,7.662014886155549,7.505514610404652,7.557681628104139,472500
2010-09-03,7.626150608062744,7.629410803836121,7.482691888515532,7.619629439168404,490000
2010-09-06,7.7141852378845215,7.714185237884521,7.531600985698164,7.6163723289291045,216250
2010-09-08,7.792435646057129,7.792435646057128,7.528340266064736,7.642455707265961,852625
2010-09-09,7.580504894256592,7.782651805447749,7.518556509362147,7.743526346072816,922250
2010-09-10,7.613109111785889,7.642453206036357,7.5250776063820775,7.564202288035109,581375
2010-09-13,7.717442512512207,7.717442512512207,7.39465905715248,7.596805949688384,841500
2010-09-14,7.9717559814453125,7.988058514488507,7.557681592196951,7.648973289726645,987250
2010-09-15,7.988058567047119,7.988058567047119,7.860901606924773,7.906547455989954,414875
2010-09-16,7.883725643157959,7.984798719961608,7.80221452060674,7.984798719961608,365250
2010-09-17,7.870687961578369,7.975022063318818,7.730489352454418,7.975022063318818,745500
2010-09-20,7.759830474853516,7.9847995804558565,7.759830474853516,7.939153720034962,787
2010-09-21,7.922852039337158,7.932633406289045,7.795695046310391,7.860903641091128,406750
2010-09-22,7.9358906745910645,7.965234764619167,7.7761294431235894,7.939150869922805,758
2010-09-23,8.118475914001465,8.118475914001465,7.909808615256669,7.948933296513302,689750
2010-09-24,8.151080131530762,8.151080131530762,7.955454394937441,8.053267263234101,1175750
2010-09-27,8.079352378845215,8.170644878206494,7.988060656831705,8.118477846764016,1050875
2010-09-28,8.226068496704102,8.268454142568624,8.014140267381485,8.014140267381485,773375
2010-09-29,8.265195846557617,8.265195846557617,8.12825751481182,8.147820244682306,769250
2010-09-30,8.255414962768555,8.444519548726994,8.167383450568275,8.268456524326437,1575375
2010-10-01,8.294665336608887,8.450604817117346,8.072368596690831,8.254850664546757,911125
2010-10-04,8.516963005065918,8.606546026972257,8.244897895409032,8.297983866932451,1259500
2010-10-05,8.361024856567383,8.556779062063535,8.347753559305524,8.430699760473006,901875
2010-10-06,8.52691650390625,8.560095136565769,8.361023340608657,8.394201973268176,895000
2010-10-07,8.427380561828613,8.573367177599371,8.347752002070653,8.553459839899633,1691250
2010-10-08,8.324529647827148,8.560097775005515,8.21504004719916,8.480469190287318,2372375
2010-10-11,8.58000373840332,8.583321364845736,8.361024572381586,8.361024572381586,396875
2010-10-13,8.58000373840332,8.759169013992723,8.45060681465573,8.560096397666596,867500
2010-10-14,8.57668685913086,8.706083794151043,8.37429659873081,8.563415561163934,699250
2010-10-15,8.75916862487793,9.054458723245148,8.546824721174131,8.573368104657646,1235750
2010-10-18,8.4904203414917,8.941649908981896,8.4904203414917,8.702763434710318,801875
2010-10-19,8.52691650390625,8.609863481075546,8.430698231881346,8.453923986679909,588750
2010-10-20,8.662948608398438,8.858702759349693,8.477148125380374,8.526915674005416,584125
2010-10-21,8.888566970825195,8.981467649648097,8.589959171616908,8.70940244950848,806875
2010-10-22,8.659631729125977,8.974829160193618,8.65631410290622,8.961557864273532,517875
2010-10-25,8.560093879699707,8.871973613739137,8.550140212259235,8.692808390851503,496000
2010-10-26,8.725987434387207,8.795662312433011,8.560093511541455,8.570047178553834,942000
2010-10-27,8.52691650390625,8.716035422002406,8.477148950437472,8.679538372348235,1458250
2010-10-28,8.434016227722168,8.626451971121668,8.434016227722168,8.626451971121668,775500
2010-10-29,8.59327507019043,8.59327507019043,8.337799639138943,8.580003773325636,777250
2010-11-01,8.477151870727539,8.6529987635045,8.477151870727539,8.596595147656965,470500
2010-11-03,8.460556983947754,8.61649643678735,8.424060735060406,8.52691423158336,1055375
2010-11-04,8.410794258117676,8.52360148546141,8.407475840107866,8.47715154373649,914875
2010-11-05,8.294665336608887,8.51032682521054,8.294665336608887,8.457240859474677,761000
2010-11-08,8.493735313415527,8.603224847324002,8.344431906929909,8.394199445411529,1248750
2010-11-09,8.470511436462402,8.596590693297687,8.364339513973832,8.593272276879325,1033375
2010-11-10,8.390888214111328,8.58332405580089,8.344438265190542,8.450609464003575,1591375
2010-11-11,8.297983169555664,8.420744814466914,8.221672240224242,8.397519061156524,721375
2010-11-12,8.440656661987305,8.490425034570416,8.271445777287616,8.29135312632086,633875
2010-11-16,8.39420223236084,8.550141731569653,8.264805323682495,8.364341224733293,574375
2010-11-17,8.72266960144043,8.732623269118562,8.364339938150362,8.364339938150362,1169625
2010-11-18,8.856115341186523,8.919973658097009,8.708233640043206,8.805700669595607,939375
2010-11-19,9.074576377868652,9.111546597918023,8.762007859441834,8.795617368935966,805500
2010-11-22,8.906530380249023,9.074577956962125,8.85275499543802,9.027524795745268,918125
2010-11-23,8.990551948547363,9.040966612016,8.785534186840655,8.90652857785149,1009500
2010-11-24,8.913248062133789,9.101461429332574,8.913248062133789,8.970384134108,504500
2010-11-25,8.930055618286133,9.007357572083757,8.839310020635427,8.973748061794092,208000
2010-11-26,8.990551948547363,9.175404646180509,8.822504405841729,8.876279779770309,783750
2010-11-29,9.040970802307129,9.094746201159426,8.92333706723559,9.007361278188727,967875
2010-11-30,9.101466178894043,9.296401868592392,8.980471751031986,9.071217371599994,1319500
2010-12-01,9.343453407287598,9.390506565118205,9.215737578702521,9.215737578702521,1232250
2010-12-02,9.343453407287598,9.47117003718667,9.195571710685405,9.393868077330389,1112875
2010-12-03,9.46108627319336,9.528305293144216,9.286316500795559,9.293038723316215,583250
2010-12-06,9.403949737548828,9.508138973105892,9.303120411120847,9.474529464734527,692375
2010-12-07,9.198931694030762,9.508139509000332,9.198931694030762,9.427476844625554,752375
2010-12-08,9.289676666259766,9.377061547330724,9.057770820643887,9.249345737444315,711625
2010-12-09,9.209015846252441,9.390507065448427,9.148518238977754,9.356897550733835,642750
2010-12-10,9.259431838989258,9.326650878001066,9.084662017032898,9.209017159073326,270250
2010-12-13,9.175403594970703,9.30648090365797,9.13507186881653,9.27623210904234,243750
2010-12-14,9.12498950958252,9.2762326908326,9.000634414559531,9.175404170437163,466875
2010-12-15,9.02415943145752,9.202289866872379,8.98718922075506,9.16531965616992,935125
2010-12-16,8.993916511535645,9.242626798852953,8.993916511535645,9.074579199136641,689875
2010-12-17,8.967024803161621,9.124989403140448,8.963664092915131,9.064492612134414,1059750
2010-12-20,8.973746299743652,9.084657742052798,8.963663368505205,8.963663368505205,464625
2010-12-21,9.077936172485352,9.077936172485352,8.96366401199783,9.044326666382325,678125
2010-12-22,8.930055618286133,9.077937303297876,8.906529041214759,9.077937303297876,821125
2010-12-23,8.906530380249023,8.987193056808502,8.839311349563783,8.987193056808502,497500
2010-12-27,8.856115341186523,8.956943883054333,8.856115341186523,8.906530012777438,522250
